name,GfPrTr,HfPrTr,SPrTr,VPrTr,k0,k1,k2,k3,k4,k5,k6,v1,v2,v3,v4,Tlambda,Tref,dTdP,l1,l2,DtH,Tmax,Tmin,d0,d1,d2,d3,d4,d5
akermanite,-3663786,-3860441,212,9.252,387.06,-2938.8,0,-40790000,0,0,0,-0.0785,0,2.5011,0.67224,358,298,0,0,0,452,,,,,,,,
albite,-3703293,-3921618,224.412,10.083,393.64,-2415.5,-7892800,1070640000,0,0,0,-0.1945,4.861E-07,2.6307,0.32407,,,,,,,,,,,,,,
"albite,high",-3703293,-3921618,224.412,10.083,393.64,-2415.5,-7892800,1070640000,0,0,0,-0.1945,4.861E-07,2.6307,0.32407,,,,,,,,,,,,,,
"albite,low",-3711715,-3935100,207.443,10.043,393.64,-2415.5,-7892800,1070640000,0,0,0,-0.1945,4.861E-07,2.6307,0.32407,,,,,,,,,,,,,,
almandine,-4941728,-5265502,339.927,11.511,573.96,-1483.1,-29292000,5022080000,0,0,0,-0.0558,3.21E-08,1.8613,0.74539,,,,,,,,,,,,,,
andalusite,-2441806,-2589972,91.434,5.147,236.48,-1102.9,-7526800,936440000,0,0,0,-0.077,1.923E-07,2.3443,0.07189,,,,,,,,,,,,,,
anorthite,-4003221,-4228730,200.186,10.075,439.37,-3734.1,0,-317020000,0,0,0,-0.1272,3.176E-07,1.0918,0.41985,,,,,,,,,,,,,,
anthophyllite,-11342582,-12069032,535.195,26.56,1219.31,-5766.5,-34766100,4400900000,0,0,0,-0.1259,0,2.706,0.31325,,,,,,,,,,,,,,
antigorite,-66076529,-71364156,3602.996,174.246,7394.51,0,-548363000,87284120000,0,0,0,-0.1978,4.944E-07,2.4965,0.39444,,,,,,,,,,,,,,
brucite,-834868,-925937,63.064,2.468,136.84,-537.1,-4361900,552690000,0,0,0,-0.2023,6.726E-07,3.2854,0.1094,,,,,,,,,,,,,,
Ca-Al-pyroxene,-3122310,-3298767,140.751,6.356,310.7,-1671.6,-7455300,948780000,0,0,0,-0.087,2.171E-07,2.225,0.52863,,,,,,,,,,,,,,
calcite,-1128295,-1206819,91.725,3.69,178.19,-1657.7,-482700,166600000,0,0,0,-0.14,0,0.8907,2.27402,,,,,,,,,,,,,,
chrysotile,-4035373,-4363356,220.134,10.72,610.02,-5581.2,-1857300,195470000,0,0,0,-0.181,4.524E-07,2.7151,0.67351,,,,,,,,,,,,,,
clinochlore,-8250546,-8909590,435.154,21.147,1214.28,-11217.1,0,-1256250000,0,0,0,-0.1819,0,2.6452,0,,,,,,,,,,,,,,
coesite,-852585,-907604,39.424,2.064,94.907,-767.3,-527900,26270000,0,0,0,-0.1037,3E-07,0.7396,0.43605,,,,,,,,,,,,,,
cordierite,-8651517,-9158727,417.97,23.311,954.39,-7962.3,-2317300,-370210000,0,0,0,-0.1158,0,0.3003,0.18017,,,,,,,,,,,,,,
corundum,-1582199,-1675700,50.82,2.558,155.02,-828.4,-3861400,409080000,0,0,0,-0.0385,3.75E-08,2.1342,0.4718,,,,,,,,,,,,,,
"cristobalite,alpha",-853918,-907753,43.394,2.587,83.51,-374.7,-2455400,280070000,0,0,0,-0.2515,0,2.0824,0,535,298,0.048,-0.14216,0.00044142,0,,,,,,,,
"cristobalite,beta",-853327,-906377,46.029,2.73,83.51,-374.7,-2455400,280070000,0,0,0,-0.11,5.535E-07,0.3189,0,,,,,,,,,,,,,,
diaspore,-920806,-999378,35.308,1.776,143.24,-1540.4,-323100,64630000,0,0,0,-0.0599,0,2.9718,0,,,,,,,,,,,,,,
diopside,-3026202,-3200583,142.5,6.62,305.41,-1604.9,-7166000,921840000,0,0,0,-0.0872,1.707E-07,2.7795,0.83082,,,,,,,,,,,,,,
