name,GfPrTr,HfPrTr,SPrTr,VPrTr,k0,k1,k2,k3,k4,k5,k6,v1,v2,v3,v4,Tlambda,Tref,dTdP,l1,l2,DtH,Tmax,Tmin,d0,d1,d2,d3,d4,d5
muscovite,-5603417,-5983434,293.157,14.087,651.49,-3873.2,-18523200,2742470000,0,0,0,-0.1717,4.295E-07,3.3527,0,,,,,,,,,,,,,,
phlogopite,-5837044,-6217085,334.346,14.977,610.38,-2083.8,-21533000,2841040000,0,0,0,-0.1697,0,3.4447,0,,,,,,,,,,,,,,
K-feldspar,-3752109,-3977485,214.145,10.869,381.37,-1941,-12037300,1836430000,0,0,0,-0.1805,5.112E-07,1.5145,0.5485,,,,,,,1436,298,282.98,-4830,3621000,-0.15733,3.477E-05,410630
"K-feldspar,high",-3745498,-3966398,229.157,10.896,381.37,-1941,-12037300,1836430000,0,0,0,-0.1805,5.112E-07,1.5145,0.5485,,,,,,,,,,,,,,
"K-feldspar,low",-3752109,-3977485,214.145,10.869,381.37,-1941,-12037300,1836430000,0,0,0,-0.1805,5.112E-07,1.5145,0.5485,,,,,,,,,,,,,,
paragonite,-5570375,-5951011,277.699,13.216,577.57,-1472.8,-32214400,5050080000,0,0,0,-0.1973,4.933E-07,3.9424,0.59701,,,,,,,,,,,,,,
albite,-3710096,-3928421,224.412,10.083,393.64,-2415.5,-7892800,1070640000,0,0,0,-0.1945,4.861E-07,2.6307,0.32407,,,,,,,,,,,,,,
"albite,high",-3710096,-3928421,224.412,10.083,393.64,-2415.5,-7892800,1070640000,0,0,0,-0.1945,4.861E-07,2.6307,0.32407,,,,,,,,,,,,,,
"albite,low",-3718518,-3941903,207.443,10.043,393.64,-2415.5,-7892800,1070640000,0,0,0,-0.1945,4.861E-07,2.6307,0.32407,,,,,,,,,,,,,,
jadeite,-2853285,-3031921,133.574,6.034,311.29,-2005.1,-5350300,662570000,0,0,0,-0.086,2.149E-07,2.3118,0.25785,,,,,,,,,,,,,,
annite,-4799809,-5149494,420,15.408,727.21,-4775.04,-13831900,2119060000,0,0,0,-0.1697,0,3.4447,0,,,,,,,,,,,,,,
