name,abbrv,formula,state,ref1,ref2,date,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
adenine,NA,C5H5N5,aq,"LH06a [S07]",NA,03.Mar.17,74770,31235,53.41,56.24,89.59,21.5046,8.501,-2.6632,-5.3561,87.88,-15.87,0.065,0
guanine,NA,C5H5N5O,aq,"LH06a [S07]",NA,03.Mar.17,16702,-34803,51.19,60.06,97.9,23.298,7.4602,-5.4837,-3.4136,90.14,-15.87,0.23,0
cytosine,NA,C4H5N3O,aq,"LH06a [S07]",NA,3.Feb.03,-8411,-46915,47.64,41.81,73.35,17.3106,5.8612,6.6034,-5.2201,70.51,-13.36,0.17,0
thymine,NA,C5H6N2O2,aq,"LH06a [S07]",NA,3.Feb.03,-61315,-104969,48.96,56.93,88.04,21.2655,7.2705,-1.0309,-5.0944,83.2,-12.39,0.12,0
uracil,NA,C4H4N2O2,aq,"LH06a [S07]",NA,3.Feb.03,-59734,-94587,45.88,36.19,71.55,17.5038,5.9312,-1.6074,-4.3091,56.57,-9.4,0.14,0
ribose,NA,C5H10O5,aq,"LH06a [S07]",NA,3.Feb.03,-179739,-247132,59.53,66.46,95.71,22.6455,7.293,-5.3875,-3.4054,134.7,-32.82,0.17,0
deoxyribose,NA,C5H10O4,aq,"LH06a [S07]",NA,3.Feb.03,-144433,-205037,57.82,56.16,94.65,22.537,7.2652,-5.3715,-3.404,124.4,-32.82,0.17,0
adenosine,NA,C10H13N5O4,aq,"LH06a [S07]",NA,3.Feb.03,-46499,-148490,87.19,120.3,170.7,39.5452,12.901,8.9651,-8.8169,163.2,-20.1,0.23,0
cytidine,NA,C9H13N3O5,aq,"LH06a [S07]",NA,3.Feb.03,-130179,-226640,83.09,96.38,153.3,36.3116,7.996,7.5934,-6.5938,132.6,-16.3,0.34,0
guanosine,NA,C10H13N5O5,aq,"LH06a [S07]",NA,3.Feb.03,-105568,-214528,88.33,124.9,174.2,42.2627,8.3757,-2.4562,-5.8937,169.3,-20.1,0.39,0
thymidine,NA,C10H14N2O6,aq,"LH06a [S07]",NA,3.Feb.03,-183083,-284694,84.42,110.5,167.4,38.1602,10.959,12.395,-7.1879,143.4,-14.9,0.29,0
uridine,NA,C9H12N2O6,aq,"LH06a [S07]",NA,3.Feb.03,-181502,-274312,81.34,95.14,151.8,36.1528,7.091,5.1259,-5.6836,131.8,-16.65,0.31,0
deoxyadenosine,NA,C10H13N5O3,aq,"LH06a [S07]",NA,3.Feb.03,-11193,-106386,85.48,111.2,170,38.0314,16.957,15.1636,-10.834,154.2,-20.1,0.23,0
deoxycytidine,NA,C9H13N3O4,aq,"LH06a [S07]",NA,24.Sep.06,-96652,-184534,87.35,87.28,154,35.8171,9.7174,7.4022,-6.5327,123.5,-16.3,0.34,0
deoxyguanosine,NA,C10H13N5O4,aq,"LH06a [S07]",NA,3.Feb.03,-71539,-176273,77.99,115.8,173.2,39.4526,15.498,14.2847,-10.569,160.3,-20.1,0.39,0
deoxythymidine,NA,C10H14N2O5,aq,"LH06a [S07]",NA,3.Feb.03,-149556,-242588,88.68,101.4,167.5,38.8728,11.451,-7.7797,-3.6098,134.4,-14.9,0.29,0
deoxyuridine,NA,C9H12N2O5,aq,"LH06a [S07]",NA,3.Feb.03,-147975,-232206,85.59,86.04,151.2,35.5945,9.6188,3.5015,-6.2803,122.8,-16.65,0.31,0
AMP-2,AMP2-,C10H12N5O7P-2,aq,"LH06a [S07]",NA,08.Mar.17,-247417,-389148,52.89,61.68,161.03,2.3198,108.81,-18.734,-1.7194,130.2,-19.82,3.1,-2
HAMP-,HAMP-,C10H13N5O7P-,aq,"LH06a [S07]",NA,08.Mar.17,-255617,-388308,83.21,114.39,187.55,2.4065,126.25,-19.139,-2.4403,188,-22.3,3.1,-1
