name,abbrv,formula,state,ref1,ref2,date,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
adenine,adenine,C5H5N5,cr,LH06a,NA,3.Feb.03,71860,23160,36.09,34.19,91.1,0.375,113.4,0,0,0,0,0,1000
guanine,guanine,C5H5N5O,cr,LH06a,NA,3.Feb.03,11402,-43953,38.29,37.7,100.3,2.49,118.1,0,0,0,0,0,1000
cytosine,cytosine,C4H5N3O,cr,LH06a,NA,3.Feb.03,-10021,-52890,33,31.97,74.73,15.28,65.97,-2.65,0,0,0,0,1000
thymine,thymine,C5H6N2O2,cr,LH06a,NA,3.Feb.03,-63392,-110612,37.05,34.95,86.68,16.2,75.37,-3.31,0,0,0,0,1000
uracil,uracil,C4H4N2O2,cr,LH06a,NA,3.Feb.03,-61734,-101400,29.74,30.31,70.5,4.175,92.67,-1.32,0,0,0,0,1000
ribose,ribose,C5H10O5,cr,LH06a,NA,3.Feb.03,-177660,-250294,41.99,44.7,94.42,-7.398,168.8,1.577,0,0,0,0,1000
deoxyribose,deoxyribose,C5H10O4,cr,LH06a,NA,14.Aug.06,-142153,-207770,41.01,32.52,84.36,128.8,-215.4,-28.49,0,0,0,0,1000
adenosine,adenosine,C10H13N5O4,cr,LH06a,NA,14.Aug.06,-48850,-156200,69.22,69.38,173.53,-3.33,239.6,1.111,0,0,0,0,1000
cytidine,cytidine,C9H13N3O5,cr,LH06a,NA,14.Aug.06,-130731,-232250,66.12,67.15,157.16,11.58,192.2,-1.539,0,0,0,0,1000
guanosine,guanosine,C10H13N5O5,cr,LH06a,NA,14.Aug.06,-109308,-223313,71.41,72.87,182.73,-1.215,244.3,1.111,0,0,0,0,1000
thymidine,thymidine,C10H14N2O6,cr,LH06a,NA,14.Aug.06,-184102,-289972,70.14,70.13,169.11,12.5,201.6,-2.199,0,0,0,0,1000
uridine,uridine,C9H12N2O6,cr,LH06a,NA,14.Aug.06,-182444,-280760,62.87,65.5,152.93,0.4697,218.9,-0.209,0,0,0,0,1000
deoxyadenosine,deoxyadenosine,C10H13N5O3,cr,LH06a,NA,14.Aug.06,-13343,-113676,78.24,57.21,163.47,132.9,-144.6,-28.96,0,0,0,0,1000
