name,abbrv,formula,state,ref1,ref2,date,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
"hydronium jarosite",NA,(H3O)Fe3(SO4)2(OH)6,cr,MSB+04,NA,13.Apr.09,-771128.1,-901099.4,107.122,NA,NA,68.642,150.12,-7.854,0,0,0,0,400
coquimbite,NA,Fe1.47Al0.53(SO4)3(H2O)9.65,cr,MNM+06,NA,13.Apr.09,-1158126.2,-1371510.5,152.557,NA,265.32,0,0,0,0,0,0,0,NA
ferricopiapite,NA,Fe4.78(SO4)6(OH)2.34(H2O)20.71,cr,MNM+06,NA,13.Apr.09,-2411520.1,-2878848,346.367,NA,574.84,0,0,0,0,0,0,0,NA
rhomboclase,NA,(H3O)1.34Fe(SO4)2.17(H2O)3.06,cr,MNM+06,NA,13.Apr.09,-642447.4,-765081.3,90.846,NA,145.24,0,0,0,0,0,0,0,NA
goethite,NA,FeOOH,cr,MGN03,MLS+03,13.Apr.09,-117065,-134010.5,14.269,17.77,20.881,0.298,55.736,0.75,0,0,0,0,375
lepidocrocite,NA,FeOOH,cr,MGN03,MLS+03,13.Apr.09,-114746.7,-131309.8,15.559,16.52,22.395,14.283,14.465,-1.847,0,0,0,0,390
maghemite,NA,Fe2O3,cr,MGN03,MLS+03,13.Apr.09,-173972.3,-193140.5,22.228,25.02,32.779,25.526,15.557,-4.508,0,0,0,0,760
kieserite,NA,MgSO4.H2O,cr,GM09,NA,24.Nov.15,-343670,-385160,30.11,NA,NA,24.65,0.41,-4.29,0,0,0,0,400
starkeyite,NA,MgSO4*4H2O,cr,GM09,NA,24.Nov.15,-514770,-596580,62.12,NA,NA,0,0,0,0,0,0,0,400
hexahydrite,NA,MgSO4*6H2O,cr,GM09,NA,24.Nov.15,-629130,-737880,83.29,NA,NA,48.56,1.6,-10.68,0,0,0,0,400
epsomite,NA,MgSO4*7H2O,cr,GM09,NA,24.Nov.15,-686190,-809920,88.74,NA,NA,52.29,1.78,-11.67,0,0,0,0,400
