name,abbrv,formula,state,ref1,ref2,date,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
Br2,bromine,Br2,aq,WEP+82,NA,27.Apr.11,939.3,-619,31.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I2,iodine,I2,aq,WEP+82,NA,27.Apr.11,3919.7,5401.5,32.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-methylpropane,NA,C4H10,aq,CGM+81,NA,7.Aug.11,NA,NA,NA,-11.38,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-propanol,NA,C3H7OH,aq,CGM+81,NA,7.Aug.11,NA,NA,NA,86.28,71.93,NA,NA,NA,NA,NA,NA,NA,NA
2-methyl-1-propanol,isobutanol,C4H10O,aq,CGM+81,NA,7.Aug.11,NA,NA,NA,103.37,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1,2-ethanediol",NA,C2H6O2,aq,CGM+81,NA,10.Aug.11,NA,NA,NA,45.86,54.6,NA,NA,NA,NA,NA,NA,NA,NA
"1,3-propanediol",NA,C3H8O2,aq,CGM+81,NA,10.Aug.11,NA,NA,NA,64.29,71.89,NA,NA,NA,NA,NA,NA,NA,NA
2-butanol,NA,C4H9OH,aq,CGM+81,NA,7.Aug.11,NA,NA,NA,107.34,86.65,NA,NA,NA,NA,NA,NA,NA,NA
3-pentanone,NA,C5H10O,aq,CGM+81,NA,10.Aug.11,NA,NA,NA,102.37,98.08,NA,NA,NA,NA,NA,NA,NA,NA
4-heptanone,NA,C7H14O,aq,CGM+81,NA,10.Aug.11,NA,NA,NA,99.43,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2,4-dimethyl-3-pentanone",NA,C7H14O,aq,CGM+81,NA,10.Aug.11,NA,NA,NA,100.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-methylpropanoic acid",NA,C4H8O2,aq,CGM+81,NA,7.Aug.11,NA,NA,NA,79.83,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-pentanol,NA,C5H11OH,aq,FPC+04,NA,10.Aug.11,NA,NA,NA,131.17,NA,NA,NA,NA,NA,NA,NA,NA,NA
3-pentanol,NA,C5H11OH,aq,FPC+04,NA,10.Aug.11,NA,NA,NA,130.21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2,5-hexanedione",NA,C6H10O2,aq,SSB+07,NA,10.Aug.11,NA,NA,NA,87.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
