name,abbrv,formula,state,ref1,ref2,date,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
chlorargyrite,Crg,AgCl,cr,RHF79,Pan70,5.May.78,-26247,-30370,23,NA,25.727,14.33,1.821,-2.43,0,0,0,0,728
rutile,TiO2,TiO2,cr,RHF79,BH83a,31.Mar.92,-212883,-226101,12.02,NA,18.82,15.01442,2.720501,-2.365364,0,0,0,0,1800
titanite,Ti-SPHENE,CaTiSiO5,cr,RHF79,SH88,31.Mar.92,-587349,-621180,30.88,NA,55.65,42.23422,5.703951,-9.525038,0,0,0,0,1800
berndtite,Brn,SnS2,cr,JH85b,NA,5.May.78,-34750,-36700,20.9,NA,40.96,15.51,4.2,0,0,0,0,0,1000
cassiterite,Cst,SnO2,cr,JH85b,NA,5.May.78,-124260,-138800,12.5,NA,21.55,17.246,2.8026,-4.9001,0,0,0,0,1500
romarchite,Sn-Ox,SnO,cr,JH85b,NA,5.May.78,-61459,-68340,13.66,NA,20.895,9.55,3.5,0,0,0,0,0,1237
tin,Sn,Sn,cr1,JH85b,NA,Aug.85,0,0,12.24,NA,16.289,4.42,6.3,0,0,0,0,0,505.06
tin,NA,Sn,cr2,JH85b,NA,Aug.85,679.802,1607.605,15.3519,NA,16.289,7.3,0,0,0,0,0,0,3000
sulfur,Sul,S,cr1,Gur96,NA,5.Jul.04,0,0,7.6,,15.511,3.58,6.24,0,0,0,0,0,368.6
sulfur,NA,S,cr2,Gur96,NA,5.Jul.04,14.792,70.499,7.7868,NA,16.49,3.56,6.96,0,0,0,0,0,392
sulfur,NA,S,cr3,Gur96,NA,5.Jul.04,99.029,371.29,8.5131,NA,17.627,5.4,5,0,0,0,0,0,717.8
gypsum,NA,CaSO4*2H2O,cr,RH95,Kel60,22.Nov.15,-429493,-483509,46.32,NA,74.69,21.84,76,0,0,0,0,0,400
