name,abbrv,formula,state,ref1,ref2,date,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
Al+3,NA,Al+3,aq,TS01,NA,25.Aug.06,-116510,NA,-81.203,-28.56,-45.3,-3.3984,-16.0789,12.0699,-2.1143,14.4295,-8.8523,2.7403,3
Al(OH)4-,NA,Al(OH)4-,aq,TS01,NA,25.Aug.06,-312087,NA,24.748,23.06,46.3,8.4938,12.9576,0.657,-3.3147,55.7265,-11.4047,1.0403,-1
AlOH+2,NA,AlOH+2,aq,TS01,NA,25.Aug.06,-166425,NA,-43.29,-8.97,-20.6,-0.4532,-8.8878,9.2434,-2.4116,15.4131,-4.8618,1.5897,2
Al(OH)2+,NA,Al(OH)2+,aq,TS01,NA,25.Aug.06,-214987,NA,-6.584,9.76,3.86,2.4944,-1.6909,6.4146,-2.7091,16.7439,-1.0465,0.5324,1
Al(OH)3,NA,Al(OH)3,aq,TS01,NA,25.Aug.06,-263321,NA,14.185,23.65,27.02,5.4624,5.556,3.5662,-3.0087,20.027,1.7829,0,0
AlF+2,NA,AlF+2,aq,TS01,NA,25.Aug.06,-193374,NA,-52.413,-3.41,-17.74,0.0486,-7.6626,8.7618,-2.4622,21.3382,-3.7292,1.882,2
AlF2+,NA,AlF2+,aq,TS01,NA,25.Aug.06,-268382,NA,-29.84,20.88,9.58,3.4523,0.648,5.4953,-2.8058,27.4906,1.2187,0.996,1
AlF3,NA,AlF3,aq,TS01,NA,25.Aug.06,-341248,NA,-14.45,40.33,35.6,6.6365,8.4227,2.4395,-3.1272,29.8025,5.1806,0,0
AlF4-,NA,AlF4-,aq,TS01,NA,25.Aug.06,-411835,NA,-6.691,45.3,57.74,10.3172,17.4096,-1.0929,-3.4987,48.4334,6.193,1.7229,-1
Al(OH)2F2-,NA,Al(OH)2F2-,aq,TS01,NA,25.Aug.06,-361765,NA,45.062,34.18,52.02,9.3237,14.9838,-0.1394,-3.3984,1.8352,21.1478,1.1651,-1
Al(OH)2F,NA,Al(OH)2F,aq,TS01,NA,25.Aug.06,-291441,NA,25.181,19.55,21.52,4.7098,3.7184,4.2885,-2.9327,17.6241,0.9477,0,0
AlOHF2,NA,AlOHF2,aq,TS01,NA,25.Aug.06,-308085,NA,42.004,15.45,16.02,3.9572,1.8807,5.0108,-2.8567,15.2213,0.1126,0,0
AlSO4+,NA,AlSO4+,aq,TS01,NA,25.Aug.06,-298759,NA,-46.724,106.7,-6.17,1.833,-3.3057,7.0494,-2.6423,90.7261,18.7002,2.4143,1
NaAl(OH)3F,NA,NaAl(OH)3F,aq,TS01,NA,25.Aug.06,-398892,NA,71.594,28.2,48,8.3333,12.5657,0.811,-3.2985,22.6935,2.7097,0,0
NaAl(OH)2F2,NA,NaAl(OH)2F2,aq,TS01,NA,25.Aug.06,-403511,NA,128.933,24.2,42.4,7.567,10.6947,1.5464,-3.2211,20.3493,1.8949,0,0
NaAl(OH)4,NA,NaAl(OH)4,aq,TS01,DPS+96,25.Aug.06,-374611,-413601,48.8,32.2,53.6,9.1267,14.3411,0.1121,-3.3719,60.7157,-14.0523,0,0
AlH3SiO4+2,NA,AlH3SiO4+2,aq,TS01,NA,25.Aug.06,-425860,NA,13.57,-71.9,-13.93,0.16,-7.23,8.61,-2.48,37.07,-49.66,0.88,2
H4SiO4,NA,H4SiO4,aq,Ste01,NA,31.Aug.06,-312919.933078394,-348676.147227533,45.1003824091778,15.0095602294455,52.3,18.7299235181644,-21.2600382409178,18.6199808795411,-1.20004780114723,58.0305927342256,-20.789913957935,0.0869024856596558,0
SiO2,NA,SiO2,aq,AS04,ZZL+16,16.Oct.17,-199539.9,-212179,11.12811,NA,NA,1.9,1.7,20,-2.7,32.22,-25.29001,0.3427103,0
"arsenic,alpha",NA,As,cr,NA03,ZZL+16.1,16.Oct.17,0,0,8.515774378585085,5.838910133843212,12.96,NA,NA,NA,NA,NA,NA,NA,NA
arsenolite,NA,As2O3,cr,NA03,NA,16.Oct.17,-137748.56596558317,-157091.3001912046,25.664435946462714,23.154875717017205,NA,NA,NA,NA,NA,NA,NA,NA,NA
claudetite,NA,As2O3,cr,NA03,NA,16.Oct.17,-137793.97705544933,-156708.8910133843,27.09608030592734,23.178776290630974,NA,NA,NA,NA,NA,NA,NA,NA,NA
As2O5,NA,As2O5,cr,NA03,NA,16.Oct.17,-185172.08413001912,-219309.27342256214,25.20076481835564,27.70076481835564,NA,NA,NA,NA,NA,NA,NA,NA,NA
"realgar,alpha",NA,AsS,cr,NA03,NA,16.Oct.17,-7480.879541108986,-7600.38240917782,15.033460803059272,11.233269598470363,NA,NA,NA,NA,NA,NA,NA,NA,NA
"realgar,beta",NA,AsS,cr,NA03,NA,16.Oct.17,-7385.277246653919,-7409.177820267686,15.176864244741873,11.233269598470363,NA,NA,NA,NA,NA,NA,NA,NA,NA
orpiment,NA,As2S3,cr,NA03,NA,16.Oct.17,-20291.586998087954,-20506.692160611852,39.14913957934991,38.95793499043977,NA,NA,NA,NA,NA,NA,NA,NA,NA
"orpiment,amorphous",NA,As2S3,cr,NA03,NA,16.Oct.17,-18355.640535372848,-15989.483747609942,47.801147227533455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arsenopyrite,NA,FeAsS,cr,BN91,ZZL+16,16.Oct.17,-33843.21223709369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
scorodite,NA,FeAsO4.2H2O,cr,LMR06,ZZL+16,16.Oct.17,-307619.5028680688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ferric arsenate,amorphous",NA,FeAsO4.2H2O,cr,LMR06,ZZL+16,16.Oct.17,-303771.51051625237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"barium arsenate",NA,Ba3(AsO4)2,cr,ZZX+05,ZZL+16,16.Oct.17,-739749.0439770555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"barium hydrogen arsenate",NA,BaHAsO4.H2O,cr,ZZX+05,ZZL+16,16.Oct.17,-367746.1759082218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
