name,abbrv,formula,state,ref1,ref2,date,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
uraninite,UO2,UO2,cr,SSB97,NA,8.Sep.94,-246610,-259320,18.4,NA,24.638,15.0033,7.586,-1.83867,0,0,0,0,600
ruthenium,Ru,Ru,cr,SS98a,NA,14.Apr.92,0,0,6.82,5.76,8.175,5,1.696,0.223,0,0,0,0,1400
rhodium,Rh,Rh,cr,SS98a,NA,14.Apr.92,0,0,7.53,5.92,8.281,5.73,1.895,-0.333,0,0,0,0,1800
palladium,Pd,Pd,cr,SS98a,NA,14.Apr.92,0,0,9.04,6.06,8.861,5.73,1.418,-0.085,0,0,0,0,1800
platinum,Pt,Pt,cr,SS98a,NA,14.Apr.92,0,0,9.95,6.18,9.09,5.831,1.255,-0.019,0,0,0,0,2000
RuO2,RuO2,RuO2,cr,SS98a,NA,9.Apr.92,-60490,-73420,12.5,13.46,19.05,16.7,2.5,-3.55,0,0,0,0,1300
Rh2O3,Rh2O3,Rh2O3,cr,SS98a,NA,9.Apr.92,-48300,-68300,21.53,24.86,31.37,20.74,13.8,0.0011,0,0,0,0,1300
PdO,PdO,PdO,cr,SS98a,NA,9.Apr.92,-14330,-20400,13.2,10.99,14.68,10.753,1.844,-0.273,0,0,0,0,1143
Pd(OH)2,Pd(OH)2,Pd(OH)2,cr,SS98a,NA,9.Apr.92,-72000,-92100,21.7,20.67,28.38,17.75,10.08,-0.273,0,0,0,0,1000
laurite,laur,RuS2,cr,SS98a,NA,10.Jun.92,-45030,-47680,13.2,15.85,25.56,17.012,1.618,-1.462,0,0,0,0,1500
Pd4S,Pd4S,Pd4S,cr,SS98a,NA,9.Apr.92,-16300,-16500,43.18,27.48,44.03,24,11.66,0,0,0,0,0,1034
vysotskite,PdS,PdS,cr,SS98a,NA,30.Mar.95,-16000,-16900,13.5,10.37,20.65,9.97,4.11,-0.73,0,0,0,0,1245
PdS2,PdS2,PdS2,cr,SS98a,NA,30.Mar.95,-17700,-18700,21,15.75,34.3,16.39,3.77,-1.57,0,0,0,0,1245
cooperite,PtS,PtS,cr,SS98a,NA,9.Apr.92,-18600,-19900,13.16,10.37,22.15,9.97,4.11,-0.73,0,0,0,0,1500
PtS2,PtS2,PtS2,cr,SS98a,NA,9.Apr.92,-24200,-26400,17.85,15.75,32.746,16.39,3.77,-1.57,0,0,0,0,1500
Rh2O,Rh2O,Rh2O,cr,SLOP98,SS98a,9.Apr.92,-19100,-22700,27.4,,0,15.59,6.47,0,0,0,0,0,1273
zincite,Znc,ZnO,cr,SSW+97.1 [S98],HDNB78.1 [S92],5.May.78,-76596,-83762,10.43,NA,14.338,11.71,1.22,-2.18,0,0,0,0,2000
litharge,NA,PbO,cr,SSW+97.1 [S98],SLOP98.1 [S98],11.Apr.95,-45220,-52540,15.85,NA,23.91,12.193,2.455,-1.7656,0,0,0,0,2000
