name,abbrv,formula,state,ref1,ref2,date,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
"carbon monoxide",CO,CO,gas,Sho93.1 [S98],NA,18.Mar.93,-32784,-26416,47.245,6.965,0,6.79,0.98,-0.11,0,0,0,0,5000
ethylene,C2H4,C2H4,gas,Sho93.1 [S98],NA,22.Sep.93,16280,12500,52.45,10.41,0,8.35,0.15,-2.29,0,0,0,0,1000
phenol,C6H6O,C6H6O,gas,DSM+97 [S98],NA,20.Nov.97,-7860,-23030,75.4,24.5,0,30.424,27.016,-12.431,0,0,0,0,1000
ortho-cresol,C7H8O,C7H8O,gas,DSM+97 [S98],NA,20.Nov.97,-8860,-30740,85.5,30.9,0,33.455,37.071,-12.088,0,0,0,0,1000
meta-cresol,C7H8O,C7H8O,gas,DSM+97 [S98],NA,20.Nov.97,-9690,-31630,85.3,29.2,0,33.367,37.017,-13.472,0,0,0,0,1000
para-cresol,C7H8O,C7H8O,gas,DSM+97 [S98],NA,20.Nov.97,-7380,-29970,83.2,29.5,0,32.661,37.582,-12.782,0,0,0,0,1000
"2,3-dimethylphenol","2,3DMP",C6H3OHCH3CH3,gas,DSM+97 [S98],NA,27.Aug.06,-6884,-37996,87.2,38.1,0,38.808,47.072,-13.129,0,0,0,0,1000
"2,4-dimethylphenol","2,4DMP",C6H3OHCH3CH3,gas,DSM+97 [S98],NA,27.Aug.06,-9393,-38296,94.6,36.6,0,36.342,47.637,-12.439,0,0,0,0,1000
"2,5-dimethylphenol","2,5DMP",C6H3OHCH3CH3,gas,DSM+97 [S98],NA,27.Aug.06,-7951,-38296,89.7,36.6,0,37.288,47.072,-13.129,0,0,0,0,1000
"2,6-dimethylphenol","2,6DMP",C6H3OHCH3CH3,gas,DSM+97 [S98],NA,27.Aug.06,-7757,-37996,90.1,38.1,0,37.236,47.126,-11.745,0,0,0,0,1000
"3,4-dimethylphenol","3,4DMP",C6H3OHCH3CH3,gas,DSM+97 [S98],NA,27.Aug.06,-7656,-38296,88.8,36.6,0,37.914,47.583,-13.823,0,0,0,0,1000
"3,5-dimethylphenol","3,5DMP",C6H3OHCH3CH3,gas,DSM+97 [S98],NA,27.Aug.06,-8078,-38296,88.2,35.4,0,37.67,47.018,-14.513,0,0,0,0,1000
nitric oxide,NA,NO,gas,WEP+82 [S07],AS01 [S07],17.Jun.07,20690,21570,50.373,7.12,0,6.2954,1.8362,0.2488,0,0,0,0,1000
nitrous oxide,NA,N2O,gas,WEP+82 [S07],AS01 [S07],17.Jun.07,24903,19610,52.545,9.2,0,9.8334,3.5123,-1.4916,0,0,0,0,1000
