name,abbrv,formula,state,ref1,ref2,date,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
ice,"ice Ih",H2O,cr1,MVT01,NA,31.Aug.06,-56546.6061185468,-69967.9732313576,10.7005258126195,10.0401529636711,19.228,0.318833652007648,32.5047801147228,0,0,0,0,0,1000
ice,"ice II",H2O,cr2,MVT01,NA,31.Aug.06,-56299.4741873805,-69967.017208413,9.87523900573614,10.0506692160612,15.301,0.178537284894837,33.2217973231358,0,0,0,0,0,1000
ice,"ice III",H2O,cr3,MVT01,NA,31.Aug.06,-56432.8393881453,-69554.7323135755,11.7043499043977,7.43379541108987,16.484,32.3977055449331,-83.6520076481836,0,0,0,0,0,1000
ice,"ice V",H2O,cr5,MVT01,NA,31.Aug.06,-56347.7533460803,-69494.9808795411,11.6192638623327,7.42901529636711,15.488,32.3977055449331,-83.6520076481836,0,0,0,0,0,1000
ice,"ice VI",H2O,cr6,MVT01,NA,31.Aug.06,-56239.9617590822,-69423.2791586998,11.4985659655832,7.40846080305927,14.77,32.4789674952199,-84.1300191204589,0,0,0,0,0,1000
ice,"ice VII",H2O,cr7,MVT01,NA,31.Aug.06,-55703.154875717,-68981.8355640535,11.1782982791587,9.68522944550669,13.915,52.5982313575526,-143.881453154876,0,0,0,0,0,1000
ice,"ice VIII",H2O,cr8,MVT01,NA,31.Aug.06,-55684.034416826,-69241.395793499,10.2442638623327,9.68522944550669,13.914,52.5982313575526,-143.881453154876,0,0,0,0,0,1000
ice,"ice IX",H2O,cr9,MVT01,NA,31.Aug.06,-56312.8585086042,-69719.8852772466,10.748326959847,7.43379541108987,16.474,32.3977055449331,-83.6520076481836,0,0,0,0,0,1000
microflore,MF,C7H17O7N,cr,TSD97,NA,31.Oct.06,-774380,NA,NA,NA,NA,0,0,0,0,0,0,0,NA
plantes,PL,C34H54O25N,cr,TSD97,NA,31.Oct.06,-3419930,NA,NA,NA,NA,0,0,0,0,0,0,0,NA
"acide fulvique",AF,C30H40O24N,cr,TSD97,NA,31.Oct.06,-2901050,NA,NA,NA,NA,0,0,0,0,0,0,0,NA
"acide humique",AH,C20H24O12N,cr,TSD97,NA,31.Oct.06,-1775100,NA,NA,NA,NA,0,0,0,0,0,0,0,NA
humine,HU,C72H90O36N,cr,TSD97,NA,31.Oct.06,-6542300,NA,NA,NA,NA,0,0,0,0,0,0,0,NA
