name,abbrv,formula,state,ref1,ref2,date,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
acanthite,Acn,Ag2S,cr1,"HDNB78 [S92]",NA,5.May.78,-9446,-7550,34.3,NA,34.2,15.63,8.6,0,0,0,0,0,450
acanthite,Acn,Ag2S,cr2,"HDNB78 [S92]",CHNOSZ.1,5.May.78,-9235.197,-7024.866,35.3543,NA,34.2,1.819,53,0,0,0,0,0,620
acanthite,Acn,Ag2S,cr3,"HDNB78 [S92]",CHNOSZ.1,5.May.78,-8227.324,-4960.457,38.898,NA,34.2,21.6,0,0,0,0,0,0,1000
aegerine,Agt,NaFe(SiO3)2,cr1,"HDNB78 [S92]",NA,5.May.78,NA,NA,36.7,NA,64.37,46.16,19.31,-9.46,0,0,0,0,950
aegerine,Agt,NaFe(SiO3)2,cr2,"HDNB78 [S92]",CHNOSZ.1,5.May.78,-82.386,NA,34.6051,NA,64.37,52.42,10.01,-7.68,0,0,0,0,1050
aegerine,Agt,NaFe(SiO3)2,cr3,"HDNB78 [S92]",CHNOSZ.1,5.May.78,478.346,NA,36.6502,NA,64.37,50.27,10.89,-7.68,0,0,0,0,1400
akermanite,Ak,Ca2MgSi2O7,cr,"HDNB78 [S92]","SPRONS92.2",15.Mar.90,-879362,-926497,50.03,NA,92.81,60.09,11.4,-11.4,0,0,0,0,1700
alabandite,Alb,MnS,cr,"HDNB78 [S92]",NA,5.May.78,-52178,-51000,19.2,NA,21.46,11.4,1.8,0,0,0,0,0,1803
albite,Ab,Na(AlSi3)O8,cr1,"HDNB78 [S92]",NA,5.May.78,-886308,-939680,49.51,NA,100.25,61.7,13.9,-15.01,0,0,0,0,473
albite,Ab,Na(AlSi3)O8,cr2,"HDNB78 [S92]",CHNOSZ.1,5.May.78,-886096.268,NA,53.9193,NA,100.25,81.88,3.554,-50.154,0,0,0,0,1200
"albite,high",Hi-Ab,NaAlSi3O8,cr1,"HDNB78 [S92]",NA,5.May.78,-884509,-937050,52.3,NA,100.43,61.7,13.9,-15.01,0,0,0,0,623
"albite,high",Hi-Ab,NaAlSi3O8,cr2,"HDNB78 [S92]",CHNOSZ.1,5.May.78,-884768.678,NA,50.4797,NA,100.43,64.17,13.9,-15.01,0,0,0,0,1400
"albite,low",Lo-Ab,Na(AlSi3)O8,cr,"HDNB78 [S92]",NA,5.May.78,-886308,-939680,49.51,NA,100.07,61.7,13.9,-15.01,0,0,0,0,1400
almandine,Alm,Fe3Al2Si3O12,cr1,"HDNB78 [S92]",NA,5.May.78,NA,NA,75.6,NA,115.28,97.52,33.64,-18.73,0,0,0,0,848
almandine,Alm,Fe3Al2Si3O12,cr2,"HDNB78 [S92]",CHNOSZ.1,5.May.78,-11.741,NA,71.93,NA,115.28,107.09,14.86,-10.63,0,0,0,0,1600
alunite,Alu,KAl3(OH)6(SO4)2,cr,"HDNB78 [S92]",NA,5.May.78,-1113600,-1235600,78.4,NA,293.6,153.45,0,-54.95,0,0,0,0,650
"amesite,14a",14A-Am,Mg4Al2(Al2Si2)O10(OH)8,cr1,"HDNB78 [S92]",NA,5.May.78,NA,NA,108.9,NA,205.4,172.59,34.98,-41.67,0,0,0,0,848
"amesite,14a",14A-Am,Mg4Al2(Al2Si2)O10(OH)8,cr2,"HDNB78 [S92]",CHNOSZ.1,5.May.78,3.895,NA,110.1233,NA,205.4,169.4,41.24,-44.37,0,0,0,0,1000
"amesite,7a",Ams-7A,Mg2Al(AlSi)O5(OH)4,cr,"HDNB78 [S92]",NA,5.May.78,NA,NA,52,NA,103,81.03,24.738,-20.23,0,0,0,0,1000
"amorphous silica",Amor-Sl,SiO2,cr,"HDNB78 [S92]",NA,5.May.78,-202892,-214568,14.34,NA,29,5.93,47.2,-22.78,0,0,0,0,622
analcime,Anl,NaAlSi2O6*H2O,cr,"HDNB78 [S92]",NA,5.May.78,-738098,-790193,56,NA,97.1,53.49,24.14,-8.88,0,0,0,0,1000
"analcime,dehydrated",Dhyd-Anl,NaAlSi2O6,cr,"HDNB78 [S92]",NA,5.May.78,-674989,-714678,41.9,NA,89.1,42.09,24.14,-8.88,0,0,0,0,1000
andalusite,And,Al2SiO5,cr,"HDNB78 [S92]",NA,5.May.78,-580587,-615866,22.2,NA,51.53,41.310833,6.292556,-12.392063,0,0,0,0,1043
andradite,Adr,Ca3Fe2Si3O12,cr,"HDNB78 [S92]","SPRONS92.2",15.Mar.90,-1296819,-1380345,70.13,NA,131.85,113.532,15.636,-30.889,0,0,0,0,1100
anglesite,Ang,PbSO4,cr,"HDNB78 [S92]",NA,5.May.78,-194353,-219870,35.51,NA,47.95,10.96,31,4.2,0,0,0,0,1100
anhydrite,Anh,CaSO4,cr,"HDNB78 [S92]",NA,5.May.78,-315925,-342760,25.5,NA,45.94,16.78,23.6,0,0,0,0,0,1453
annite,Ann,KFe3(AlSi3)O10(OH)2,cr,"HDNB78 [S92]",NA,5.May.78,-1147156,-1232195,95.2,NA,154.32,106.43,29.77,-19.31,0,0,0,0,1000
anorthite,An,Ca(Al2Si2)O8,cr,"HDNB78 [S92]","SPRONS92.2",15.Mar.90,-954078,-1007552,49.1,NA,100.79,63.311,14.794,-15.44,0,0,0,0,1700
anthophyllite,Ath,Mg7Si8O22(OH)2,cr1,"HDNB78 [S92]",NA,5.May.78,-2715430,-2888749,128.6,NA,264.4,180.682,60.574,-38.462,0,0,0,0,903
anthophyllite,Ath,Mg7Si8O22(OH)2,cr2,"HDNB78 [S92]",CHNOSZ.1,5.May.78,-2718479.297,NA,108.796,NA,264.4,197.542,41.614,-13.342,0,0,0,0,1258
anthophyllite,Ath,Mg7Si8O22(OH)2,cr3,"HDNB78 [S92]",CHNOSZ.1,5.May.78,-2719529.932,NA,105.9454,NA,264.4,199.522,41.614,-13.342,0,0,0,0,1800
antigorite,Atg,Mg48Si34O85(OH)62,cr1,"HDNB78 [S92]",NA,5.May.78,-15808020,-17070891,861.36,NA,1749.13,1228.45,513.76,-286.68,0,0,0,0,848
antigorite,Atg,Mg48Si34O85(OH)62,cr2,"HDNB78 [S92]",CHNOSZ.1,5.May.78,-15808027.845,NA,858.9133,NA,1749.13,1234.83,501.24,-281.28,0,0,0,0,1000
aragonite,Arg,CaCO3,cr,"HDNB78 [S92]","PB82 [S92]",9.Mar.90,-269683,-288531,21.56,NA,34.15,20.13,10.24,-3.34,0,0,0,0,600
artinite,Art,Mg2(OH)2(CO3)*3H2O,cr,"HDNB78 [S92]",NA,5.May.78,-613915,-698043,55.67,NA,96.9,70.87,27.66,-7.43,0,0,0,0,1000
azurite,Azr,Cu3(OH)2(CO3)2,cr,"HDNB78 [S92]",NA,5.May.78,-334417,-390100,66.97,NA,91.01,36.88,77.44,-0.92,0,0,0,0,780
barite,Brt,BaSO4,cr,"HDNB78 [S92]",NA,5.May.78,-325563,-352100,31.6,NA,52.1,33.8,0,-8.43,0,0,0,0,1422
boehmite,Bhm,AlO(OH),cr,"HDNB78 [S92]",NA,5.May.78,-217250,-235078,11.58,NA,19.535,14.435,4.2,0,0,0,0,0,500
bornite,Bn,Cu5FeS4,cr1,"HDNB78 [S92]","PK70 [S92]",5.May.78,-86704,-79922,99.29,NA,98.6,49.76,35.08,-1.35,0,0,0,0,485
bornite,Bn,Cu5FeS4,cr2,"HDNB78 [S92]",CHNOSZ.1,5.May.78,-86373.231,-78463.256,103.0733,NA,98.6,-34.31,247,0,0,0,0,0,540
bornite,Bn,Cu5FeS4,cr3,"HDNB78 [S92]",CHNOSZ.1,5.May.78,-86513.642,-80947.917,95.2106,NA,98.6,80.33,-2.04,0,0,0,0,0,1200
bromellite,Brm,BeO,cr,"HDNB78 [S92]",NA,5.May.78,NA,NA,3.38,NA,8.309,8.45,4,-3.17,0,0,0,0,1200
brucite,Brc,Mg(OH)2,cr,"HDNB78 [S92]",NA,5.May.78,-199646,-221390,15.09,NA,24.63,24.147,4.0124,-6.11,0,0,0,0,900
bunsenite,Bsn,NiO,cr1,"HDNB78 [S92]",NA,5.May.78,-50573,-57300,9.08,NA,10.97,-4.99,37.58,3.89,0,0,0,0,525
bunsenite,Bsn,NiO,cr2,"HDNB78 [S92]",CHNOSZ.1,5.May.78,-50581.657,-57508.213,8.4107,NA,10.97,13.88,0,0,0,0,0,0,565
bunsenite,Bsn,NiO,cr3,"HDNB78 [S92]",CHNOSZ.1,5.May.78,-50447.661,-57020.353,9.5976,NA,10.97,11.18,2.02,0,0,0,0,0,2000
ca-al-pyroxene,Ca-Al-Px,CaAl(AlSi)O6,cr,"HDNB78 [S92]","SPRONS92.2",15.Mar.90,-742067,-783793,35,NA,63.5,54.13,6.42,-14.9,0,0,0,0,1400
ca-phillipsite,Ca-Php,Ca(Al2Si5)O14*5H2O,cr1,"HDNB78 [S92]",NA,5.May.78,NA,NA,166.6,NA,265,145.82,52.67,-19.13,0,0,0,0,848
ca-phillipsite,Ca-Php,Ca(Al2Si5)O14*5H2O,cr2,"HDNB78 [S92]",CHNOSZ.1,5.May.78,-3.895,NA,165.3767,NA,265,149.01,46.41,-16.43,0,0,0,0,1000
calcite,Cal,CaCO3,cr,"HDNB78 [S92]","PB82 [S92]",9.Mar.90,-269880,-288552,22.15,NA,36.934,24.98,5.24,-6.2,0,0,0,0,1200
celadonite,Cln,K(MgAl)Si4O10(OH)2,cr,"HDNB78 [S92]",NA,5.May.78,NA,NA,74.9,NA,157.1,80.25,25.3,-18.54,0,0,0,0,1000
celestite,Cls,SrSO4,cr,"HDNB78 [S92]",NA,5.May.78,-320435,-347300,28,NA,46.25,21.8,13.3,0,0,0,0,0,1500
cerussite,Cer,PbCO3,cr,"HDNB78 [S92]",NA,5.May.78,-150370,-168000,31.3,NA,40.59,12.39,28.6,0,0,0,0,0,800
chabazite,Cbz,Ca(Al2Si4)O12*6H2O,cr,"HDNB78 [S92]",NA,5.May.78,NA,NA,152.9,NA,247.76,146,44.47,-16.43,0,0,0,0,1000
chalcedony,Cha,SiO2,cr,"HDNB78 [S92]",NA,5.May.78,-204276,-217282,9.88,NA,22.688,11.22,8.2,-2.7,0,0,0,0,848
chalcocite,Cc,Cu2S,cr1,"HDNB78 [S92]",NA,5.May.78,-20626,-19000,28.9,NA,27.48,12.63,18.82,0,0,0,0,0,376
chalcocite,Cc,Cu2S,cr2,"HDNB78 [S92]",CHNOSZ.1,5.May.78,-20479.051,-18494.843,30.1015,NA,27.48,26.78,-7.35,0,0,0,0,0,717
chalcocite,Cc,Cu2S,cr3,"HDNB78 [S92]",CHNOSZ.1,5.May.78,-19940.435,-17064.666,33.0917,NA,27.48,20.32,0,0,0,0,0,0,1400
