old,new
amorphous-silica,"amorphous silica"
"copper,native",copper
"gold,native",gold
potassium-oxide,"potassium oxide"
"silver,native",silver
sodium-oxide,"sodium oxide"
herzenbergite,hedenbergite
"phillipsite,ca",ca-phillipsite
"phillipsite,k",k-phillipsite
"phillipsite,na",na-phillipsite
"tin,native",tin
carbon-dioxide,"carbon dioxide"
hydrogen-sulfide,"hydrogen sulfide"
sulfur-dioxide,"sulfur dioxide"
1-butanamine,butanamine
1-butanol,butanol
1-butene,butene
1-heptanamine,heptanamine
1-heptanol,heptanol
1-heptene,heptene
1-hexanamine,hexanamine
1-hexanol,hexanol
1-hexene,hexene
1-octanamine,octanamine
1-octanol,octanol
1-octene,octene
1-pentanamine,pentanamine
1-pentanol,pentanol
1-pentene,pentene
1-propanamine,propanamine
1-propanol,propanol
1-propene,propene
2-butanone,butanone
a-aminobutyric,"a-aminobutyric acid"
acetic-acid,"acetic acid"
aspartic-acid,"aspartic acid"
Al(OH)+2,AlOH+2
butanoate,n-butanoate
butanoic-acid,"n-butanoic acid"
Ba(CO3),BaCO3
Ca(CO3),CaCO3
formic-acid,"formic acid"
Fe(CH3COO)+,Fe(Ac)+
Fe(CH3COO)2,Fe(Ac)2
glutamic-acid,"glutamic acid"
heptanoate,n-heptanoate
heptanoic-acid,"n-heptanoic acid"
hexanoate,n-hexanoate
hexanoic-acid,"n-hexanoic acid"
Mg(CO3),MgCO3
n-butane,butane
n-heptane,heptane
n-hexane,hexane
n-octane,octane
n-pentane,pentane
octanoate,n-octanoate
octanoic-acid,"n-octanoic acid"
pentanoate,n-pentanoate
pentanoic-acid,"n-pentanoic acid"
propanoic-acid,"propanoic acid"
Pb(CH3COO)+,Pb(Ac)+
Pb(CH3COO)2,Pb(Ac)2
Sr(CO3),SrCO3
Zn(CH3COO)+,Zn(Ac)+
zn(ch3coo)2,Zn(Ac)2
Zn(CH3COO)3-,Zn(Ac)3-
PdS,vysotskite
PtS,cooperite
LITHARGE,litharge
carbon-monoxide,"carbon monoxide"
c2h4,ethylene
2-hydroxybutanoic,"2-hydroxybutanoic acid"
2-hydroxydecanoic,"2-hydroxydecanoic acid"
2-hydroxyheptanoic,"2-hydroxyheptanoic acid"
2-hydroxyhexanoic,"2-hydroxyhexanoic acid"
2-hydroxynonanoic,"2-hydroxynonanoic acid"
2-hydroxyoctanoic,"2-hydroxyoctanoic acid"
2-hydroxypentanoic,"2-hydroxypentanoic acid"
adipic-acid,"adipic acid"
azelaic-acid,"azelaic acid"
benzoic-acid,"n-benzoic acid"
ba(hco3)+,Ba(HCO3)+
o-CRESOL,o-cresol
m-CRESOL,m-cresol
p-CRESOL,p-cresol
decanoate,n-decanoate
decanoic-acid,"n-decanoic acid"
2-3DMP,"2,3-dimethylphenol"
"2,4-DMP","2,4-dimethylphenol"
2-5DMP,"2,5-dimethylphenol"
2-6DMP,"2,6-dimethylphenol"
3-4DMP,"3,4-dimethylphenol"
3-5DMP,"3,5-dimethylphenol"
dodecanoate,n-dodecanoate
dodecanoic-acid,"n-dodecanoic acid"
glutaric-acid,"glutaric acid"
GLYCOLATE,glycolate
glycolic-acid,"glycolic acid"
h2seo3,H2SeO3
lactic-acid,"lactic acid"
m-toluic-acid,"m-toluic acid"
malonic-acid,"malonic acid"
nonanoate,n-nonanoate
nonanoic-acid,"n-nonanoic acid"
o-toluic-acid,"o-toluic acid"
oxalic-acid,"oxalic acid"
p-toluic-acid,"p-toluic acid"
pimelic-acid,"pimelic acid"
sebacic-acid,"sebacic acid"
suberic-acid,"suberic acid"
succinic-acid,"succinic acid"
undecanoate,n-undecanoate
undecanoic-acid,"n-undecanoic acid"
UREA,urea
nd(ac)+2,Nd(Ac)+2
tb(ac)+2,Tb(Ac)+2
zn(ac)2,Zn(Ac)2
